,name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,weekly_discount,monthly_discount,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price
2540,Stylish inner-city resort-style apartment,,f,1,1,t,-33.88565,151.21225,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,1000.0,50.0,1,0,4,30,4,4,30,30,4.0,30.0,27,57,87,358,15,6,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,1,0,0,0.54,$200.00
7202,Private Waterfront Paradise!,83%,f,1,1,f,-33.8457,151.15368,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,75.0,68.0,4,12,3,180,3,3,180,180,3.0,180.0,0,0,21,141,11,11,84.0,9.0,9.0,10.0,9.0,9.0,9.0,f,f,f,moderate,f,f,1,1,0,0,1.46,$200.00
5640,"Lovely townhouse in a leafy, attractive location",,f,1,1,f,-33.91015,151.13024,t,Townhouse,Entire home/apt,3,1.5,2.0,2.0,Real Bed,,,,,152.0,1,0,3,30,3,3,30,30,3.0,30.0,0,0,0,0,11,0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,1,0,0,0.5,$66.00
3578,Modern sunny apartment close to CBD and Airport,,f,1,1,t,-33.92929,151.15335,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,,,,,19.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,8,0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,t,f,moderate,f,f,1,1,0,0,0.31,$81.00
3396,Maroubra Beachview,,f,1,1,f,-33.944379999999995,151.2576,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,648.0,93.0,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,4,2,93.0,10.0,10.0,8.0,8.0,10.0,10.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.3,$108.00
461,Sun drenched beach pad,,f,2,2,f,-33.944340000000004,151.25535,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,202.0,30.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,12,42,72,163,2,1,90.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,f,flexible,f,f,2,1,1,0,0.13,$99.00
7755,Cozy Studio in Manly Beach,100%,f,2,2,f,-33.80523,151.29564,f,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,337.0,90.0,1,0,5,29,5,5,29,29,5.0,29.0,0,0,0,0,1,1,60.0,4.0,8.0,10.0,10.0,10.0,8.0,f,f,f,flexible,f,f,1,1,0,0,0.55,$89.00
3245,Spacious water views with 3 lounge rooms,,f,2,2,f,-33.93525,151.25898999999998,t,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,,,,100.0,33.0,1,7,7,1125,7,7,1125,1125,7.0,1125.0,0,0,0,0,0,0,,,,,,,,f,t,f,flexible,f,f,2,2,0,0,,$300.00
1052,New Modern Central Apartment,100%,f,1,1,t,-33.88386,151.20609,f,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,,51.0,1,0,2,1125,2,5,1125,1125,2.1,1125.0,0,0,0,8,23,3,94.0,10.0,10.0,9.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.47,$196.00
696,Easy assess cosy self contained room,,f,1,1,t,-33.94999,151.14257,f,Guesthouse,Private room,1,1.0,1.0,1.0,Real Bed,,,,0.0,13.0,1,0,1,9,1,1,9,9,1.0,9.0,0,0,8,283,10,10,78.0,8.0,7.0,9.0,9.0,9.0,8.0,f,t,f,moderate,f,f,2,0,2,0,1.29,$52.00
1597,Brand NEW Luxury Spacious 2bedrooms apt@MQ,100%,f,3,3,f,-33.7792,151.11247,f,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,,,,118.0,80.0,4,36,2,1124,2,2,1124,1124,2.0,1124.0,0,0,0,0,30,11,90.0,9.0,9.0,9.0,9.0,9.0,9.0,f,f,f,strict_14_with_grace_period,f,f,2,2,0,0,1.37,$169.00
8,**Amazing Bondi Beach Tamarama Parkside Paradise!,100%,f,1,1,f,-33.89922,151.27382,f,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,,,,0.0,29.0,4,0,7,90,7,7,90,90,7.0,90.0,0,0,0,0,8,5,93.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,f,moderate,f,f,1,1,0,0,0.41,$339.00
8417,"Clean, Quiet Room in Heart of Manly",90%,f,4,4,f,-33.79851,151.28564,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,,,,,1,32,5,30,5,5,30,30,5.0,30.0,10,32,32,32,18,0,94.0,9.0,10.0,9.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,4,1,3,0,0.44,$62.00
99,Tiami House - The Scout Group,100%,f,36,36,f,-33.854820000000004,151.27918,t,House,Entire home/apt,9,4.0,5.0,6.0,Real Bed,,,,183.0,43.0,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,32,32,0,0,0.16,"$1,367.00"
6177,Awesome 2 bedroom apartment!! Great location!,90%,f,21,21,t,-33.87693,151.19027,t,Apartment,Entire home/apt,4,1.5,2.0,3.0,Real Bed,,,,71.0,71.0,1,0,4,1125,4,4,1125,1125,4.0,1125.0,0,0,0,0,4,4,87.0,10.0,9.0,9.0,10.0,10.0,10.0,f,t,f,strict_14_with_grace_period,f,f,20,18,2,0,0.57,$210.00
1456,Luxury Apt in Heart of City - Darling Harbour,100%,f,1,1,f,-33.87907,151.20381,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,,,101.0,75.0,2,8,1,1125,1,5,1125,1125,1.1,1125.0,25,47,77,258,3,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,2.81,$199.00
1672,North Avalon Beach Home,100%,f,1,1,t,-33.62488,151.33778,t,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,,,,164.0,49.0,1,0,5,1125,5,5,1125,1125,5.0,1125.0,0,0,0,8,4,4,93.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.61,$610.00
7412,"southern Sydney, bush and beach",100%,t,2,2,t,-34.08098,151.00111,t,House,Private room,2,1.0,2.0,2.0,Real Bed,,,,,,1,70,1,1125,1,1,1125,1125,1.0,1125.0,24,54,79,341,26,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,2,0,2,0,0.77,$71.00
5584,Elizabeth Bay Seaview! Studio Apartment,100%,f,1,1,t,-33.87109,151.22848,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,417.0,67.0,2,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,21,7,97.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.42,$120.00
7344,Cozy studio close to CBD,,f,1,1,t,-33.87814,151.22087,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,353.0,47.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,3,0,80.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,f,flexible,f,f,1,1,0,0,0.07,$85.00
2328,Spacious Private Room in Bondi Beach,,f,1,1,f,-33.88603,151.27217,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,5,14,5,5,14,14,5.0,14.0,0,0,0,0,0,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,,$85.00
1194,Bondi BoHo House in Nancy St North Bondi,100%,f,3,3,f,-33.88674,151.27715,f,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,,,,67.0,17.0,4,0,2,1124,2,7,1124,1124,2.7,1124.0,22,44,44,95,0,0,,,,,,,,f,t,f,strict_14_with_grace_period,f,f,3,3,0,0,,"$1,500.00"
3605,Cosy 2BR Apt 2min walk to beach,100%,f,1,1,t,-33.943979999999996,151.25361999999998,f,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,,28.57142857,40.0,1000.0,133.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,28,58,88,337,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.02,$150.00
31,U502 Designer Studio! -  Surry Hills,,f,6,6,f,-33.88395,151.20996,t,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,,,,135.0,41.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,27,0,84.0,9.0,10.0,9.0,9.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,6,6,0,0,1.48,$148.00
3833,New York Style Studio,91%,f,11,11,f,-33.88702,151.20016999999999,f,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,,,1,0,2,1125,1,2,1125,1125,2.0,1125.0,14,39,64,149,0,0,,,,,,,,f,t,f,flexible,f,f,10,4,6,0,,$138.00
7820,Sydney Rhodes Best Room Safe Clean Private & Tidy,,f,1,1,t,-33.82593,151.08871000000002,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,11.0,1,36,1,90,1,1,90,90,1.0,90.0,0,0,0,0,4,0,85.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,f,strict_14_with_grace_period,f,f,1,0,1,0,0.2,$56.00
1360,Spacious 1 Bedroom Beach Apartment ,,f,1,1,t,-33.65726,151.31831,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,125.0,,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,,$120.00
3455,"Lovely room with stunning view,",,f,1,1,t,-33.87478,151.22342,t,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,,,,,73.0,1,36,2,18,2,2,18,18,2.0,18.0,0,0,0,0,0,0,,,,,,,,f,f,f,moderate,f,f,1,0,1,0,,$55.00
5944,CHARMING 1BDR APARTMENT CLOSE TO CITY!!!,100%,f,1,1,f,-33.87851,151.1925,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,0.0,84.0,1,0,2,38,2,2,38,38,2.0,38.0,0,0,0,0,4,4,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,1,1,0,0,0.34,$89.00
8033,"A modern 2-bed, 2-bath apartment in Waterloo.",,f,1,1,f,-33.89803,151.21466999999998,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,,,1,0,14,19,14,14,19,19,14.0,19.0,0,0,0,19,1,1,,,,,,,,f,t,f,flexible,f,f,1,1,0,0,0.09,$120.00
4064,??????Luxury Darling Harbour Apt in the ?????? Sydney CBD,100%,f,1,1,f,-33.87808,151.20266,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,140.0,55.0,1,0,1,1125,1,3,1125,1125,1.3,1125.0,2,5,11,24,9,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,1,1,0,0,9.0,$146.00
4868,A jewel with ocean views in Manly,,f,1,1,f,-33.793,151.28232,t,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,,,,,,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,,,,,,,,f,f,f,flexible,f,f,1,1,0,0,,$199.00
1414,Large Room with Ensuite Bathroom,,f,1,1,t,-33.91713,151.14793,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,0.0,9.456740443,,211.0,28.0,1,21,6,1125,6,6,1125,1125,6.0,1125.0,0,0,0,0,50,0,96.0,10.0,9.0,10.0,9.0,9.0,9.0,f,f,f,moderate,f,f,1,0,1,0,0.67,$71.00
540,"RAG10-Stunning Panoramic Views, Executive Retreat",85%,f,148,148,t,-33.84346,151.23291,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,651.0,128.0,1,0,31,1124,5,31,1124,1124,27.3,1124.0,3,3,3,183,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,148,148,0,0,,$215.00
8652,Perfect for the holiday!,,f,1,1,f,-33.91637,151.14642,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,0.0,1,0,4,1125,1,4,1125,1125,3.1,1125.0,0,0,0,0,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,0,1,0,,$61.00
3643,Cozy Arty 1 bedroom apartment close to Bondi Beach,,f,1,1,f,-33.8796,151.27254,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,144.0,79.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,4,0,100.0,9.0,8.0,9.0,9.0,9.0,9.0,f,t,f,moderate,f,f,1,1,0,0,0.26,$89.00
7886,Super Cute City Cottage,100%,f,110,110,f,-33.8815,151.22007,t,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,410.0,49.0,1,0,5,1125,5,10,1125,1125,5.4,1125.0,0,8,38,295,11,7,93.0,10.0,9.0,10.0,9.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,106,106,0,0,0.33,$244.00
1617,Newly renovated cottage in Penrith,40%,f,1,1,f,-33.754509999999996,150.6902,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,1,1,1,1,1,1,1.0,1.0,28,58,88,179,0,0,,,,,,,,f,f,f,flexible,f,f,1,1,0,0,,$107.00
4870,"Sunny, open plan living with 1 bdrm",100%,f,1,1,f,-33.875240000000005,151.15659,f,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,,357.0,57.0,2,18,2,1125,2,2,1125,1125,2.0,1125.0,2,19,19,19,13,0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,f,moderate,f,f,1,1,0,0,0.32,$140.00
3467,Double Room Coogee Bay Rd - 1 min from beach,,f,1,1,f,-33.921459999999996,151.25438,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,14,23,14,14,23,23,14.0,23.0,0,0,0,0,1,0,80.0,10.0,6.0,10.0,10.0,10.0,8.0,f,t,f,flexible,f,f,1,0,1,0,0.05,$81.00
210,Modern Luxury in Central Location,100%,f,11,11,f,-33.88371,151.20915,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,20.63492063,32.65993266,202.0,35.0,1,35,2,28,2,2,28,28,2.0,28.0,0,0,0,0,25,0,94.0,9.0,10.0,10.0,10.0,10.0,9.0,f,t,f,moderate,f,f,11,3,4,4,0.55,$99.00
7336,Mardi Gras or Chinese New Year festival location,,f,1,1,t,-33.87583,151.22123,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,200.0,40.0,4,20,2,5,2,2,5,5,2.0,5.0,28,58,88,363,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.11,$500.00
754,Luxurious waterfront studio in exclusive Beauty Pt,86%,f,1,1,f,-33.8105,151.24213,t,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,,,202.0,30.0,2,0,2,1125,2,2,1125,1125,2.0,1125.0,0,7,33,124,9,9,89.0,9.0,8.0,10.0,10.0,10.0,9.0,f,t,f,flexible,f,f,1,1,0,0,1.41,$99.00
2982,Maroubra Beach Haven,,f,1,1,f,-33.9469,151.25433999999998,f,House,Entire home/apt,6,2.0,4.0,6.0,Real Bed,,,,56.0,22.0,1,0,7,30,7,7,30,30,7.0,30.0,10,10,25,224,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,,$450.00
7260,Bright & Spacious Room+Balcony _ Close to the City,100%,t,1,1,f,-33.896879999999996,151.19033000000002,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,0.0,42.0,1,14,1,1125,1,1,1125,1125,1.0,1125.0,11,13,13,13,29,29,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,f,moderate,f,f,1,0,1,0,4.14,$71.00
4170,Master room  bathroom toilet  $75night Bankstown,100%,f,13,13,f,-33.91649,151.03647,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,281.0,84.0,1,56,1,1125,1,1,1125,1125,1.0,1125.0,29,59,89,364,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,13,2,11,0,,$89.00
3859,"Friendly & Modern Home , Bondi Junction",100%,f,1,1,t,-33.894009999999994,151.24273,t,House,Private room,1,1.0,1.0,1.0,Real Bed,,,,259.0,43.0,1,34,3,30,3,3,30,30,3.0,30.0,9,14,14,14,25,7,86.0,9.0,10.0,10.0,10.0,9.0,9.0,f,f,f,moderate,f,f,1,0,1,0,0.92,$58.00
2029,The Highberry - CBD Harbour View Escape (2BR Apt),100%,t,7,7,f,-33.86068,151.20399,t,Apartment,Entire home/apt,6,1.5,2.0,4.0,Real Bed,,,,0.0,44.0,1,0,1,1125,1,2,1125,1125,1.1,1125.0,4,18,40,288,83,49,96.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,f,strict_14_with_grace_period,f,f,7,7,0,0,4.47,$298.00
9613,Luxury Private Suite w/ bath (new years eve),,f,1,1,f,-33.95728,151.13931000000002,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,,,,1,0,2,5,2,2,5,5,2.0,5.0,0,0,0,0,1,0,100.0,8.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,0,1,0,0.05,$55.00
4371,Own bed & bathroom. Please enquire before booking,100%,t,1,1,t,-33.863640000000004,151.1794,f,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,,-9.89010989,,0.0,92.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,28,50,80,339,58,4,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,0,1,0,0.98,$65.00
9363,"Super peaceful, super convenient and very central",,f,1,1,t,-33.90323,151.17616,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,2,1125,2,2,1125,1125,2.0,1125.0,28,58,88,363,0,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,,$71.00
1888,Spacious 3bd Townhouse in heart of Erskineville,,f,1,1,f,-33.89853,151.18247,f,Townhouse,Entire home/apt,6,2.5,3.0,3.0,Real Bed,,,,,60.0,1,0,5,21,5,5,21,21,5.0,21.0,0,0,0,0,2,2,80.0,10.0,6.0,10.0,6.0,10.0,8.0,f,t,f,moderate,f,f,1,1,0,0,0.31,$249.00
6842,Stylish Two-Bedder in Sydney's Lower North Shore,100%,f,1,1,f,-33.81943,151.18235,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,,,1,0,3,3,3,3,3,3,3.0,3.0,12,24,27,69,1,1,100.0,10.0,10.0,8.0,8.0,10.0,10.0,f,t,f,flexible,f,f,1,1,0,0,1.0,$140.00
9478,Hurstville ????????????3???????????????,100%,f,16,16,f,-33.96477,151.10201999999998,t,Apartment,Private room,6,2.0,3.0,3.0,Real Bed,,,,0.0,29.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,20,43,43,233,1,1,60.0,8.0,6.0,8.0,6.0,8.0,8.0,f,t,f,flexible,f,f,16,4,12,0,0.16,$280.00
2945,?????????,,f,8,8,f,-33.91138,151.10235,f,Apartment,Entire home/apt,6,2.0,3.0,1.0,Real Bed,,,,0.0,30.0,6,7,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,73,0,0,,,,,,,,f,t,f,moderate,f,f,8,7,1,0,,$268.00
2083,Charming brand new room at Canterbury,29%,f,6,6,t,-33.91257,151.11903,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,,,,574.0,49.0,2,41,1,1125,1,1,1125,1125,1.0,1125.0,8,38,68,343,4,2,100.0,10.0,10.0,9.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,6,0,6,0,0.12,$61.00
8233,???usyd uts,100%,f,1,1,f,-33.88863,151.12104,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,1,270,1,2,270,270,1.0,270.0,5,5,5,5,0,0,,,,,,,,f,t,f,flexible,f,f,1,0,1,0,,$61.00
513,"Luxury, romantic beach getaway",,f,1,1,f,-33.793929999999996,151.28784,f,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,,,,201.0,40.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.03,$249.00
3532,Ground floor beach pad - direct beach access,,f,1,1,t,-33.77997,151.29357,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,,,1,0,4,4,4,4,4,4,4.0,4.0,4,4,4,163,5,2,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.17,$300.00
